assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCF_000016585.1,PRJNA224116,SAMN00623063,,na,319224,24,Shewanella putrefaciens CN-32,strain=CN-32,,latest,Complete Genome,Major,Full,39192,ASM1658v1,US DOE Joint Genome Institute,GCA_000016585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/585/GCF_000016585.1_ASM1658v1,,
GCF_000169215.2,PRJNA224116,SAMN00632276,,na,399804,24,Shewanella putrefaciens 200,strain=200,,latest,Complete Genome,Major,Full,40561,ASM16921v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000169215.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/215/GCF_000169215.2_ASM16921v2,,
GCF_000219105.1,PRJNA224116,SAMN02603152,,representative genome,483219,33,Myxococcus fulvus HW-1,strain=HW-1,,latest,Complete Genome,Major,Full,40716,ASM21910v1,"College of Life Science, Shandong University",GCA_000219105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1,,
GCF_000988565.1,PRJNA224116,SAMN03609916,,na,1334629,33,Myxococcus fulvus 124B02,strain=124B02,,latest,Complete Genome,Major,Full,42130,ASM98856v1,"State Key Laboratory of Microbial Technology, College of Life Science, Shandong University",GCA_000988565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/565/GCF_000988565.1_ASM98856v1,,
GCF_000012685.1,PRJNA224116,SAMN02604018,,representative genome,246197,34,Myxococcus xanthus DK 1622,strain=DK 1622,,latest,Complete Genome,Major,Full,38875,ASM1268v1,TIGR,GCA_000012685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1,,
GCF_000165485.1,PRJNA224116,SAMN02603592,,representative genome,378806,41,Stigmatella aurantiaca DW4/3-1,strain=DW4/3-1,,latest,Complete Genome,Major,Full,40472,ASM16548v1,Max Planck Institute for Terrestrial Microbiology,GCA_000165485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,,
GCF_001027285.1,PRJNA224116,SAMN03704078,,representative genome,48,48,Archangium gephyra,strain=DSM 2261,,latest,Complete Genome,Major,Full,42158,ASM102728v1,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",GCA_001027285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,,assembly from type material
GCF_001189295.1,PRJNA224116,SAMN03651481,,representative genome,52,52,Chondromyces crocatus,strain=Cm c5,,latest,Complete Genome,Major,Full,42215,ASM118929v1,Helmholtz Centre for Infection Research,GCA_001189295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,,assembly from type material
GCF_000067165.1,PRJNA224116,SAMEA3138271,,representative genome,448385,56,Sorangium cellulosum So ce56,strain=So ce 56,,latest,Complete Genome,Major,Full,39413,ASM6716v1,Bielefeld Univ,GCA_000067165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,,
GCF_000418325.1,PRJNA224116,SAMN02603858,,na,1254432,56,Sorangium cellulosum So0157-2,strain=So0157-2,,latest,Complete Genome,Major,Full,41460,ASM41832v1,Shandong University,GCA_000418325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/325/GCF_000418325.1_ASM41832v1,,
GCF_002222655.1,PRJNA224116,SAMN07313362,,representative genome,63,63,Vitreoscilla filiformis,strain=ATCC 15551,,latest,Complete Genome,Major,Full,42936,ASM222265v1,L'Oreal,GCA_002222655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1,,
GCF_000222485.1,PRJNA224116,SAMN02261369,,representative genome,880070,104,Cyclobacterium marinum DSM 745,strain=DSM 745,,latest,Complete Genome,Major,Full,40758,ASM22248v1,JGI,GCA_000222485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/485/GCF_000222485.1_ASM22248v1,,assembly from type material
GCF_000218895.1,PRJNA224116,SAMN02232050,,representative genome,761193,106,Runella slithyformis DSM 19594,strain=DSM 19594,,latest,Complete Genome,Major,Full,40711,ASM21889v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000218895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1,,assembly from type material
GCF_000165715.2,PRJNA224116,SAMN00103628,,representative genome,756272,119,Rubinisphaera brasiliensis DSM 5305,strain=DSM 5305,,latest,Complete Genome,Major,Full,40603,ASM16571v3,US DOE Joint Genome Institute (JGI-PGF),GCA_000165715.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3,,assembly from type material
GCF_000092105.1,PRJNA224116,SAMN02598463,,representative genome,521674,120,Planctopirus limnophila DSM 3776,strain=DSM 3776,,latest,Complete Genome,Major,Full,40311,ASM9210v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000092105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/105/GCF_000092105.1_ASM9210v1,,assembly from type material
GCF_000025185.1,PRJNA224116,SAMN00120219,,representative genome,530564,125,Pirellula staleyi DSM 6068,strain=DSM 6068,,latest,Complete Genome,Major,Full,40185,ASM2518v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/185/GCF_000025185.1_ASM2518v1,,assembly from type material
GCF_000186345.1,PRJNA224116,SAMN00138929,,representative genome,575540,128,Isosphaera pallida ATCC 43644,strain=ATCC 43644,,latest,Complete Genome,Major,Full,40563,ASM18634v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000186345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1,,assembly from type material
GCF_000008685.2,PRJNA57581,SAMN02603966,,reference genome,224326,139,Borrelia burgdorferi B31,strain=B31,,latest,Complete Genome,Major,Full,40856,ASM868v2,TIGR,GCA_000008685.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/685/GCF_000008685.2_ASM868v2,,assembly from type material
GCF_000021405.1,PRJNA224116,SAMN02603438,,na,445985,139,Borrelia burgdorferi ZS7,strain=ZS7,,latest,Complete Genome,Major,Full,39799,ASM2140v1,J. Craig Venter Institute,GCA_000021405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/405/GCF_000021405.1_ASM2140v1,,
GCF_000166635.1,PRJNA224116,SAMN02604202,,na,521007,139,Borrelia burgdorferi N40,strain=N40,,latest,Complete Genome,Major,Full,40498,ASM16663v1,University of Maryland School of Medicine - Institute for Genome Sciences,GCA_000166635.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/635/GCF_000166635.1_ASM16663v1,,
GCF_000166655.1,PRJNA224116,SAMN02604203,,na,521008,139,Borrelia burgdorferi JD1,strain=JD1,,latest,Complete Genome,Major,Full,40498,ASM16665v1,University of Maryland School of Medicine - Institute for Genome Sciences,GCA_000166655.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/655/GCF_000166655.1_ASM16665v1,,
GCF_000444465.1,PRJNA224116,SAMN02604148,,na,1328311,139,Borrelia burgdorferi CA382,strain=CA382,,latest,Complete Genome,Major,Full,41492,ASM44446v1,University of California Irvine,GCA_000444465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/444/465/GCF_000444465.1_ASM44446v1,,
GCF_002151465.1,PRJNA224116,SAMN03269135,,na,139,139,Borreliella burgdorferi,strain=PAli,yes,latest,Complete Genome,Major,Full,42874,ASM215146v1,Bavarian Health and Food Safety Authority,GCA_002151465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1,,
GCF_002151485.1,PRJNA224116,SAMN03269134,,na,139,139,Borreliella burgdorferi,strain=PAbe,,latest,Complete Genome,Major,Full,42874,ASM215148v1,Bavarian Health and Food Safety Authority,GCA_002151485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/485/GCF_002151485.1_ASM215148v1,,
GCF_002151505.1,PRJNA224116,SAMN06324250,,na,139,139,Borreliella burgdorferi,strain=B31_NRZ,B31,latest,Complete Genome,Major,Full,42874,ASM215150v1,Bavarian Health and Food Safety Authority,GCA_002151505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/505/GCF_002151505.1_ASM215150v1,,
GCF_000956315.1,PRJNA224116,SAMN03408291,,na,1329908,140,Borrelia hermsii CC1,strain=CC1,,latest,Complete Genome,Major,Full,42082,ASM95631v1,University of California Irvine,GCA_000956315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/315/GCF_000956315.1_ASM95631v1,,
GCF_001660005.1,PRJNA224116,SAMN04481062,,representative genome,1867252,140,Borrelia hermsii HS1,strain=HS1,Browne Mountain,latest,Complete Genome,Major,Full,42482,ASM166000v1,University of California Irvine,GCA_001660005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/005/GCF_001660005.1_ASM166000v1,,
GCF_000512145.1,PRJNA224116,SAMN02641595,,na,1435045,141,Borrelia parkeri HR1,strain=HR1,,latest,Complete Genome,Major,Full,41646,ASM51214v2,University of California Irvine,GCA_000512145.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/145/GCF_000512145.1_ASM51214v2,,
GCF_001936255.1,PRJNA224116,SAMN04359737,,representative genome,1365188,143,Borrelia anserina Es,strain=Es,UTHSCSA,latest,Complete Genome,Major,Full,42740,ASM193625v1,University of California Irvine,GCA_001936255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/255/GCF_001936255.1_ASM193625v1,,
GCF_000147075.1,PRJNA224116,SAMN02603259,,na,665571,154,Spirochaeta thermophila DSM 6192,strain=DSM 6192,,latest,Complete Genome,Major,Full,40431,ASM14707v1,Georg-August-University Goettingen,GCA_000147075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/075/GCF_000147075.1_ASM14707v1,,
GCF_000184345.1,PRJNA224116,SAMN00191235,,representative genome,869211,154,Spirochaeta thermophila DSM 6578,strain=DSM 6578,,latest,Complete Genome,Major,Full,40730,ASM18434v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000184345.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/345/GCF_000184345.1_ASM18434v2,,assembly from type material
GCF_000008185.1,PRJNA57583,SAMN02603967,,reference genome,243275,158,Treponema denticola ATCC 35405,strain=ATCC 35405,,latest,Complete Genome,Major,Full,38020,ASM818v1,TIGR,GCA_000008185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/185/GCF_000008185.1_ASM818v1,,assembly from type material
GCF_000022105.1,PRJNA224116,SAMN02603102,,na,565034,159,Brachyspira hyodysenteriae WA1,strain=WA1; ATCC 49526,,latest,Complete Genome,Major,Full,39890,ASM2210v1,Centre for Comparative Genomics,GCA_000022105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/105/GCF_000022105.1_ASM2210v1,,
GCF_001676785.2,PRJNA224116,SAMN05172954,,representative genome,1266923,159,Brachyspira hyodysenteriae ATCC 27164,strain=B-78,,latest,Complete Genome,Major,Full,42643,ASM167678v2,University of Minnesota,GCA_001676785.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/785/GCF_001676785.2_ASM167678v2,,assembly from type material
GCF_000604125.1,PRJNA224116,SAMN03081438,,representative genome,1095955,160,Treponema pallidum subsp. pallidum str. Sea 81-4,strain=Sea 81-4,,latest,Complete Genome,Major,Full,41726,ASM60412v1,University of Washington,GCA_000604125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/125/GCF_000604125.1_ASM60412v1,,
GCF_000195275.1,PRJNA224116,SAMN00713601,,representative genome,869209,167,Treponema succinifaciens DSM 2489,strain=DSM 2489,,latest,Complete Genome,Major,Full,40640,ASM19527v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000195275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/275/GCF_000195275.1_ASM19527v1,,assembly from type material
GCF_000017605.1,PRJNA224116,SAMN02603617,,na,355278,172,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)',strain=Patoc 1 (Ames),,latest,Complete Genome,Major,Full,39491,ASM1760v1,Monash University,GCA_000017605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/605/GCF_000017605.1_ASM1760v1,,
GCF_000017685.1,PRJNA224116,SAMN02603347,,representative genome,456481,172,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',strain=Patoc 1 (Paris),,latest,Complete Genome,Major,Full,39491,ASM1768v1,Institut Pasteur,GCA_000017685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/685/GCF_000017685.1_ASM1768v1,,
GCF_000007685.1,PRJNA224116,SAMN02603847,,na,267671,173,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,strain=Fiocruz L1-130,,latest,Complete Genome,Major,Full,38068,ASM768v1,Sao Paulo state (Brazil) Consortium,GCA_000007685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/685/GCF_000007685.1_ASM768v1,,
GCF_000092565.1,PRJNA57881,SAMN02603127,,reference genome,189518,173,Leptospira interrogans serovar Lai str. 56601,strain=56601,,latest,Complete Genome,Major,Full,40274,ASM9256v1,"Chinese National HGC, Shanghai",GCA_000092565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/565/GCF_000092565.1_ASM9256v1,,
GCF_000231175.1,PRJNA224116,SAMN02603861,,na,573825,173,Leptospira interrogans serovar Lai str. IPAV,strain=IPAV,,latest,Complete Genome,Major,Full,40836,ASM23117v1,Shanghai Jiao Tong University,GCA_000231175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/175/GCF_000231175.1_ASM23117v1,,
GCF_000941035.1,PRJNA224116,SAMN03375751,,na,1395589,173,Leptospira interrogans serovar Linhai str. 56609,strain=56609,,latest,Complete Genome,Major,Full,42067,ASM94103v1,"Department of Medical Microbiology and Parasitology, Institutes of Medical Science, Shanghai Jiao Tong University School of Medicine",GCA_000941035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/941/035/GCF_000941035.1_ASM94103v1,,
GCF_001010765.1,PRJNA224116,SAMN03259167,,na,338215,173,Leptospira interrogans serovar Bratislava,strain=PigK151,AS 05 115,latest,Complete Genome,Major,Full,42144,ASM101076v1,"USDA, ARS, National Animal Disease Center",GCA_001010765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/010/765/GCF_001010765.1_ASM101076v1,,
GCF_001047635.1,PRJNA224116,SAMN03780437,,na,214675,173,Leptospira interrogans serovar Manilae,strain=UP-MMC-NIID LP,,latest,Complete Genome,Major,Full,42193,ASM104763v1,Okinawa Institute of Advanced Sciences,GCA_001047635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/047/635/GCF_001047635.1_ASM104763v1,,
GCF_001047655.1,PRJNA224116,SAMN03780438,,na,214675,173,Leptospira interrogans serovar Manilae,strain=UP-MMC-NIID HP,,latest,Complete Genome,Major,Full,42193,ASM104765v1,Okinawa Institute of Advanced Sciences,GCA_001047655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/047/655/GCF_001047655.1_ASM104765v1,,
GCF_001293065.1,PRJNA224116,SAMN03853357,,na,1279460,173,Leptospira interrogans serovar Hardjo str. Norma,strain=Norma,Cattle,latest,Complete Genome,Major,Full,42264,ASM129306v1,Federal University of Minas Gerais,GCA_001293065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/065/GCF_001293065.1_ASM129306v1,,
GCF_002073495.1,PRJNA224116,SAMN04875540,,na,44275,173,Leptospira interrogans serovar Copenhageni,strain=FDAARGOS_203,,latest,Complete Genome,Major,Full,42823,ASM207349v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_002073495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/495/GCF_002073495.1_ASM207349v1,,
